Date,YEAR,Month,Day,hour,temperature,dewpoint,humidity,wind_speed,precipitation,cloud_cover,Hourly_Block,Load
1/5/2014,2014,1,5,0,21,8,57,20.9,0,35,0,4267
1/5/2014,2014,1,5,1,21,9,60,20.9,0,35,0,3998
1/5/2014,2014,1,5,2,21,9,60,16.2,0,0,0,3881
1/5/2014,2014,1,5,3,19,9,65,12.8,0,35,0,3864
1/5/2014,2014,1,5,4,18,9,68,11.6,0,25,0,3898
1/5/2014,2014,1,5,5,17,10,74,12.8,0,35,0,4116
1/5/2014,2014,1,5,6,19,10,68,13.9,0,0,0,4368
1/5/2014,2014,1,5,7,19,11,71,11.6,0,35,0,4603
1/5/2014,2014,1,5,8,21,11,65,12.8,0,0,0,4822
1/5/2014,2014,1,5,9,26,11,53,9.3,0,0,0,4956
1/5/2014,2014,1,5,10,29,13,51,10.4,0,0,0,4990
1/5/2014,2014,1,5,11,30,12,47,10.4,0,0,0,4704
1/5/2014,2014,1,5,12,30,15,54,8.1,0,100,0,4603
1/5/2014,2014,1,5,13,30.9,16,54,8.1,0,100,0,4603
1/5/2014,2014,1,5,14,33,16,50,5.8,0,100,0,4838
1/5/2014,2014,1,5,15,33,19,56,3.5,0,100,0,5275
1/5/2014,2014,1,5,16,33,21,61,4.6,0.01,100,0,5998
1/5/2014,2014,1,5,17,30,30,100,4.6,0,100,0,6418
1/5/2014,2014,1,5,18,31,31,100,0,0,100,0,6334
1/5/2014,2014,1,5,19,33,32,96,0,0,92,0,6048
1/5/2014,2014,1,5,20,32,32,100,0,0,90,0,5527
1/5/2014,2014,1,5,21,32,32,100,4.6,0,90,0,4939
1/5/2014,2014,1,5,22,33,33,100,4.6,0.03,90,0,4385
1/5/2014,2014,1,5,23,33,33,100,4.6,0.06,90,0,3881
1/6/2014,2014,1,6,0,34,33,96,7,0.03,90,0,3394
1/6/2014,2014,1,6,1,34,34,100,4.6,0.02,60,0,3293
1/6/2014,2014,1,6,2,35,35,100,4.6,0,60,0,3242
1/6/2014,2014,1,6,3,37,37,100,4.6,0.05,90,0,3343
1/6/2014,2014,1,6,4,41,39,93,7,0.17,90,0,3461
1/6/2014,2014,1,6,5,42,41,96,4.6,0,60,0,3898
1/6/2014,2014,1,6,6,43,43,100,8.1,0.03,65,0,4553
1/6/2014,2014,1,6,7,52,52,100,17.4,0.03,25,1,4805
1/6/2014,2014,1,6,8,52,52,100,17.4,0.02,25,1,4637
1/6/2014,2014,1,6,9,55,54,96,25.5,0.04,90,1,4738
1/6/2014,2014,1,6,10,55,54,96,20.9,0.16,100,1,4738
1/6/2014,2014,1,6,11,55,54,96,20.9,0.05,100,1,4838
1/6/2014,2014,1,6,12,49,48,96,20.9,0,100,1,4570
1/6/2014,2014,1,6,13,46.9,44,89,17.4,0,100,1,4553
1/6/2014,2014,1,6,14,42,40,93,15.1,0.07,100,1,4603
1/6/2014,2014,1,6,15,39,39,100,17.4,0.02,100,1,4922
1/6/2014,2014,1,6,16,32,31,96,15.1,0,100,1,5460
1/6/2014,2014,1,6,17,30,28,92,18.6,0,100,1,6115
1/6/2014,2014,1,6,18,30,21,69,18.6,0,85,1,6115
1/6/2014,2014,1,6,19,28,18,66,22,0,100,1,6031
1/6/2014,2014,1,6,20,26,17,69,13.9,0,60,1,5645
1/6/2014,2014,1,6,21,26,16,66,13.9,0,100,1,5141
1/6/2014,2014,1,6,22,24,14,66,20.9,0,75,1,4519
1/6/2014,2014,1,6,23,22,12,65,11.6,0,25,0,4049
1/7/2014,2014,1,7,0,21,11,65,9.3,0,25,0,3713
1/7/2014,2014,1,7,1,21,12,68,7,0,100,0,3629
1/7/2014,2014,1,7,2,14,11,88,22,0,100,0,3494
1/7/2014,2014,1,7,3,12,-3,51,26.7,0,40,0,3629
1/7/2014,2014,1,7,4,10,-5,51,15.1,0,100,0,3847
1/7/2014,2014,1,7,5,8,-5,55,18.6,0,40,0,4486
1/7/2014,2014,1,7,6,7,-8,50,22,0,0,0,5393
1/7/2014,2014,1,7,7,5,-9,52,20.9,0,0,1,5695
1/7/2014,2014,1,7,8,3.9,-9,55,16.2,0,0,1,5107
1/7/2014,2014,1,7,9,6,-9,50,15.1,0,0,1,4906
1/7/2014,2014,1,7,10,6,-7,55,18.6,0,75,1,4687
1/7/2014,2014,1,7,11,7,-9,48,19.7,0,35,1,4166
1/7/2014,2014,1,7,12,7,-10,46,22,0,35,1,3763
1/7/2014,2014,1,7,13,8.9,-11,40,22,0,0,1,3797
1/7/2014,2014,1,7,14,7,-13,40,19.7,0,0,1,4217
1/7/2014,2014,1,7,15,7,-14,38,20.9,0,0,1,5174
1/7/2014,2014,1,7,16,6,-16,36,23.2,0,0,1,6048
1/7/2014,2014,1,7,17,4,-14,43,13.9,0,0,1,6989
1/7/2014,2014,1,7,18,4,-15,41,15.1,0,0,1,7157
1/7/2014,2014,1,7,19,3,-13,47,10.4,0,3,1,7006
1/7/2014,2014,1,7,20,3,-13,47,12.8,0,0,1,6703
1/7/2014,2014,1,7,21,3,-12,50,18.6,0,0,1,6082
1/7/2014,2014,1,7,22,3,-12,50,19.7,0,0,1,5477
1/7/2014,2014,1,7,23,2,-12,52,17.4,0,0,0,4939
1/8/2014,2014,1,8,0,2,-11,54,13.9,0,0,0,4519
1/8/2014,2014,1,8,1,2,-11,54,18.6,0,0,0,4318
1/8/2014,2014,1,8,2,2,-10,57,15.1,0,0,0,4116
