Date,Value
2017-05-31,2.34
2017-04-30,2.348
2017-03-31,2.346
2017-02-28,2.34
2017-01-31,2.334
2016-12-31,2.332
2016-11-30,2.344
2016-10-31,2.348
2016-09-30,2.358
2016-08-31,2.358
2016-07-31,2.36
2016-06-30,2.36
2016-05-31,2.354
2016-04-30,2.342
2016-03-31,2.352
2016-02-29,2.356
2016-01-31,2.362
2015-12-31,2.342
2015-11-30,2.33
2015-10-31,2.316
2015-09-30,2.318
2015-08-31,2.32
2015-07-31,2.314
2015-06-30,2.308
2015-05-31,2.306
2015-04-30,2.312
2015-03-31,2.308
2015-02-28,2.308
2015-01-31,2.298
2014-12-31,2.294
2014-11-30,2.28
2014-10-31,2.254
2014-09-30,2.24
2014-08-31,2.218
2014-07-31,2.208
2014-06-30,2.194
2014-05-31,2.192
2014-04-30,2.182
2014-03-31,2.174
2014-02-28,2.164
2014-01-31,2.158
2013-12-31,2.158
2013-11-30,2.148
2013-10-31,2.134
2013-09-30,2.12
2013-08-31,2.118
2013-07-31,2.096
2013-06-30,2.076
2013-05-31,2.052
2013-04-30,2.038
2013-03-31,2.03
2013-02-28,2.034
2013-01-31,2.046
2012-12-31,2.066
2012-11-30,2.07
2012-10-31,2.056
2012-09-30,2.044
2012-08-31,2.036
2012-07-31,2.03
2012-06-30,2.028
2012-05-31,2.02
2012-04-30,2.012
2012-03-31,2.006
2012-02-29,2.002
2012-01-31,1.998
2011-12-31,1.986
2011-11-30,1.98
2011-10-31,1.962
2011-09-30,1.958
2011-08-31,1.954
2011-07-31,1.956
2011-06-30,1.96
2011-05-31,1.96
2011-04-30,1.948
2011-03-31,1.924
2011-02-28,1.886
2011-01-31,1.838
2010-12-31,1.802
2010-11-30,1.786
