Date,Value
2/28/97,90300
3/31/97,90500
4/30/97,91000
5/31/97,91600
6/30/97,91900
7/31/97,92000
8/31/97,92000
9/30/97,92000
10/31/97,91900
11/30/97,92000
12/31/97,92400
1/31/98,92700
2/28/98,93000
3/31/98,93300
4/30/98,93500
5/31/98,93600
6/30/98,93800
7/31/98,94200
8/31/98,94800
9/30/98,95500
10/31/98,95900
11/30/98,96100
12/31/98,96300
1/31/99,96400
2/28/99,96300
3/31/99,96300
4/30/99,96700
5/31/99,97200
6/30/99,97700
7/31/99,98600
8/31/99,99700
9/30/99,100600
10/31/99,101300
11/30/99,102100
12/31/99,102900
1/31/00,103700
2/29/00,104500
3/31/00,105300
4/30/00,106200
5/31/00,106900
6/30/00,107600
7/31/00,107800
8/31/00,107700
9/30/00,107600
10/31/00,108500
11/30/00,110600
12/31/00,113100
1/31/01,114600
2/28/01,115500
3/31/01,115900
4/30/01,115900
5/31/01,115800
6/30/01,115800
7/31/01,116000
8/31/01,117200
9/30/01,119100
10/31/01,120500
11/30/01,121000
12/31/01,121500
1/31/02,122200
2/28/02,123000
3/31/02,123700
4/30/02,124100
5/31/02,124100
6/30/02,124100
7/31/02,123800
8/31/02,122800
9/30/02,121600
10/31/02,121100
11/30/02,120700
12/31/02,119500
1/31/03,118100
2/28/03,117300
3/31/03,116800
4/30/03,116000
5/31/03,115100
6/30/03,114500
7/31/03,114400
8/31/03,114700
9/30/03,115100
10/31/03,115200
11/30/03,115100
12/31/03,115500
1/31/04,116400
2/29/04,117000
3/31/04,117500
4/30/04,118200
5/31/04,119000
6/30/04,119700
7/31/04,120100
8/31/04,119800
9/30/04,118500
10/31/04,117000
11/30/04,115600
12/31/04,114600
1/31/05,114200
2/28/05,114000
3/31/05,113800
4/30/05,114100
5/31/05,114800
6/30/05,115400
7/31/05,115800
8/31/05,116200
9/30/05,116800
10/31/05,117700
11/30/05,118900
12/31/05,120400
1/31/06,121700
2/28/06,122900
3/31/06,124000
4/30/06,125100
5/31/06,126100
6/30/06,127300
7/31/06,128400
8/31/06,129300
9/30/06,129800
10/31/06,130700
11/30/06,131500
12/31/06,132300
1/31/07,133300
2/28/07,134300
3/31/07,134900
4/30/07,135400
5/31/07,136400
6/30/07,137500
7/31/07,138500
8/31/07,139800
9/30/07,141500
10/31/07,142700
11/30/07,143200
12/31/07,143900
1/31/08,144600
2/29/08,145000
3/31/08,144900
4/30/08,144700
5/31/08,144900
6/30/08,145200
7/31/08,144800
8/31/08,143400
9/30/08,141700
10/31/08,140200
11/30/08,138700
12/31/08,137600
1/31/09,137000
2/28/09,136300
3/31/09,135000
4/30/09,133600
5/31/09,132100
6/30/09,131300
7/31/09,132400
8/31/09,135200
9/30/09,138200
10/31/09,140000
11/30/09,141200
12/31/09,139400
1/31/10,135600
2/28/10,133800
3/31/10,135600
4/30/10,136300
5/31/10,135500
6/30/10,134400
7/31/10,133300
8/31/10,132100
9/30/10,131600
10/31/10,132200
11/30/10,133000
12/31/10,134700
1/31/11,136300
2/28/11,136700
3/31/11,136300
4/30/11,136000
5/31/11,134700
6/30/11,132800
7/31/11,131500
8/31/11,130300
9/30/11,128700
10/31/11,127200
11/30/11,126700
12/31/11,126600
1/31/12,126900
2/29/12,126700
3/31/12,126400
4/30/12,127300
5/31/12,128600
6/30/12,129100
7/31/12,129200
8/31/12,130100
9/30/12,132400
10/31/12,135100
11/30/12,136600
12/31/12,137900
1/31/13,139000
2/28/13,139300
3/31/13,138500
4/30/13,138600
5/31/13,141000
6/30/13,144100
7/31/13,146100
8/31/13,147000
9/30/13,146100
10/31/13,145100
11/30/13,146100
12/31/13,148200
1/31/14,150000
2/28/14,152300
3/31/14,154700
4/30/14,156500
5/31/14,158200
6/30/14,159200
7/31/14,159500
8/31/14,160100
9/30/14,161800
10/31/14,163300
11/30/14,163900
12/31/14,164200
1/31/15,165300
2/28/15,168200
3/31/15,172900
4/30/15,178800
5/31/15,184400
6/30/15,189500
7/31/15,193100
8/31/15,194100
9/30/15,194800
10/31/15,196900
11/30/15,198800
12/31/15,201400
